location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
St. Barthelemy,6/1/2014 0:00,1,1,1,1
Dominica,7/1/2014 0:00,1,1,1,1
Puerto Rico,7/1/2014 0:00,1,1,1,1
St. Barthelemy,7/1/2014 0:00,1,1,1,1
Dominica,8/1/2014 0:00,1,1,1,1
Puerto Rico,8/1/2014 0:00,1,1,1,1
St. Barthelemy,8/1/2014 0:00,1,1,1,1
Dominica,9/1/2014 0:00,1,1,1,1
Puerto Rico,9/1/2014 0:00,1,1,1,1
St. Barthelemy,9/1/2014 0:00,1,1,1,1
Dominica,10/1/2014 0:00,1,1,1,1
Puerto Rico,10/1/2014 0:00,1,1,1,1
St. Barthelemy,10/1/2014 0:00,1,1,1,1
Dominica,11/1/2014 0:00,1,1,1,1
Puerto Rico,11/1/2014 0:00,1,1,1,1
St. Barthelemy,11/1/2014 0:00,1,1,1,1
Dominica,12/1/2014 0:00,1,1,1,1
Puerto Rico,12/1/2014 0:00,1,1,1,1
St. Barthelemy,12/1/2014 0:00,1,1,1,1
