STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20150801,142,-9999,343,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20150901,188,-9999,823,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20151001,348,-9999,720,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20151101,526,-9999,1189,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20151201,91,-9999,417,3,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20140801,218,-9999,637,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20140901,147,-9999,427,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20141001,234,-9999,484,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20141101,13,-9999,21,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20150401,89,-9999,233,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20150501,145,-9999,419,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20150601,343,-9999,1212,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20150701,650,-9999,856,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0055,WEST SAINT PAUL 0.7 W MN US,20150801,277,-9999,359,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140101,318,25,877,25,239,-71,137,19,78
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140201,564,0,2002,0,250,0,185,81,133
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140301,1019,0,2486,0,256,22,200,94,147
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140401,3950,0,7500,0,300,56,243,153,198
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140501,612,0,1484,0,328,122,279,191,235
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140601,241,0,828,0,344,200,314,228,271
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140701,691,0,1942,0,350,172,314,227,270
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140801,224,0,349,0,372,200,324,231,278
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20140901,358,0,1342,0,328,156,297,215,256
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20141001,665,0,1129,0,300,83,269,153,211
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20141101,112,0,304,0,267,-38,189,64,126
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20141201,307,0,888,0,272,28,186,85,136
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150101,701,0,1644,0,228,-71,160,54,107
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150201,447,0,1001,0,244,-27,157,44,100
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150301,427,0,605,0,306,-16,228,137,183
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150401,643,0,2534,0,306,122,259,179,219
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150501,599,0,1303,0,317,117,289,199,244
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150601,257,0,1040,0,344,206,313,230,271
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150701,411,0,1776,0,367,206,340,243,292
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150801,541,0,1705,0,361,183,325,237,281
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20150901,1138,0,1616,0,356,161,309,215,262
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20151001,1499,0,2051,0,311,117,268,169,219
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20151101,757,0,1832,0,283,17,230,142,186
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20151201,734,0,2116,0,267,33,218,131,174
GHCND:USC00028499,TEMPE ASU AZ US,20140101,0,0,0,0,272,-6,231,11,120
GHCND:USC00028499,TEMPE ASU AZ US,20140201,0,0,0,0,306,-17,253,50,152
GHCND:USC00028499,TEMPE ASU AZ US,20140301,305,0,394,0,311,39,276,71,173
GHCND:USC00028499,TEMPE ASU AZ US,20140401,5,0,5,0,356,33,310,90,200
GHCND:USC00028499,TEMPE ASU AZ US,20140501,0,0,0,0,400,94,347,140,241
GHCND:USC00028499,TEMPE ASU AZ US,20140601,0,0,0,0,417,139,399,178,288
GHCND:USC00028499,TEMPE ASU AZ US,20140701,33,0,69,0,439,189,401,230,314
GHCND:USC00028499,TEMPE ASU AZ US,20140801,145,0,288,0,417,172,381,207,294
GHCND:USC00028499,TEMPE ASU AZ US,20140901,782,0,1552,0,417,144,373,197,284
GHCND:USC00028499,TEMPE ASU AZ US,20141001,33,0,48,0,372,83,331,119,225
GHCND:USC00028499,TEMPE ASU AZ US,20141101,0,0,0,0,306,22,260,114,187
GHCND:USC00028499,TEMPE ASU AZ US,20141201,66,0,206,0,272,-33,210,60,136
GHCND:USC00028499,TEMPE ASU AZ US,20150101,251,0,353,0,283,-39,221,56,137
GHCND:USC00028499,TEMPE ASU AZ US,20150201,13,0,16,0,317,50,263,80,172
GHCND:USC00028499,TEMPE ASU AZ US,20150301,122,0,143,0,361,67,298,108,210
